feature,importance
int_rate,0.19023278866542348
long_term,0.11293822759347473
fico_score,0.05696325184108834
loan_to_income,0.05653947799936037
dti,0.05033838308070423
debt_burden_score,0.03648066122613535
grade_D,0.035021482637806745
rate_premium,0.034716372756858294
loan_amnt,0.03457269196265825
revol_bal,0.03179132681533832
annual_inc,0.029798534510375188
revol_util,0.028716838683948046
credit_utilization,0.02822001531783115
grade_E,0.0254241622137349
grade_B,0.025321307728008464
account_mix_score,0.02513036085822535
credit_history_depth,0.02112516274923026
open_acc,0.019865674738583597
total_acc,0.01978873192061077
mort_acc,0.0189712430614462
